review,sentiment
This movie was great!,1
The acting was terrible,0
I loved this film,1
It was a waste of time,0
The plot was predictable,0
This is a must-watch movie,1
I would not recommend this movie,0
The cinematography was stunning,1
The script was weak,0
The ending was disappointing,0
This is the best movie ever!,1
I regret watching this film,0
The characters were well-developed,1
It was too slow-paced,0
I was on the edge of my seat the whole time,1
The special effects were amazing,1
I was bored throughout the entire movie,0
The soundtrack was beautiful,1
The dialogue was cheesy,0
I would watch this movie again and again,1
The story was compelling,1
It was a complete disaster,0
The direction was superb,1
I couldn't stand this movie,0
The cast did a fantastic job,1
It was a total waste of money,0
The film was thought-provoking,1
I didn't understand the plot,0
The editing was well done,1
This movie made me cry,1
It was a mind-bending experience,1
I was disappointed by this film,0
The humor was spot-on,1
I would not recommend this to anyone,0
The production design was outstanding,1
I couldn't take this movie seriously,0
The acting was phenomenal,1
It was a bit too long,0
The movie kept me engaged the entire time,1
I wish I had not seen this movie,0
The story was original and refreshing,1
It was a complete letdown,0
The score was perfect,1
I couldn't connect with the characters,0
The film was visually stunning,1
I fell asleep during this movie,0
The chemistry between the actors was amazing,1
It was a waste of my time and money,0
The pacing was perfect,1
I was very disappointed in this film,0
The suspense was thrilling,1
This movie was a masterpiece,1
I found the plot to be confusing,0
The acting was mediocre,0
I was pleasantly surprised by this film,1
The special effects were lackluster,0
I was blown away by this movie,1
The film was too long,0
The characters were one-dimensional,0
The direction was mediocre,0
I couldn't stand the soundtrack,0
The movie was too slow,0
The plot was cliché,0
The cinematography was mediocre,0
I was entertained throughout the entire film,1
The acting was wooden,0
The film was too predictable,0
The dialogue was cringe-worthy,0
The special effects were cheesy,0
The pacing was too fast,0
This movie was a waste of time and money,0
The direction was lackluster,0
I loved this movie from start to finish,1
The plot was convoluted,0
The acting was superb,1
I was disappointed by the ending,0
The soundtrack was forgettable,0
The film was beautifully shot,1
I couldn't get into this movie,0
The script was brilliant,1
The editing was choppy,0
I was completely invested in this film,1
Loved it! Best movie ever.,1
Worst movie I've ever seen.,0
Great performances, but plot was weak.,0
Funny and heartwarming, perfect family movie.,1
Absolutely terrible, waste of time.,0
Thrilling action and suspense throughout.,1
Boring and predictable, couldn't finish it.,0
Unexpected plot twists, kept me on edge.,1
Predictable and cliche, disappointed.,0
Hilarious and entertaining, a must-see comedy.,1
Excellent acting, but slow-paced and dull.,0
Suspenseful and well-written, a great thriller.,1
Disappointing and underwhelming, not worth watching.,0
Charming and heartwarming, a feel-good movie.,1
Predictable and boring, don't waste your time.,0
Great movie!,1
Worst film ever.,0
I loved it!,1
Terrible acting ruins this one.,0
Awesome film!,1
Don't waste your time.,0
Incredible performance by the lead actor.,1
Horrible plot, terrible ending.,0
Excellent direction and cinematography.,1
Dreadful dialogue ruins this film.,0
The best movie I've seen all year.,1
I couldn't stand it.,0
Impressive special effects.,1
A complete waste of money.,0
Highly recommended!,1
I wouldn't recommend this to anyone.,0
This movie was fantastic!,1
The acting was mediocre but the plot was intriguing.,0
I was on the edge of my seat the entire time.,1
I thought the ending was lackluster.,0
The special effects were amazing.,1
The cinematography was beautiful.,1
I couldn't follow the plot.,0
The humor fell flat.,0
I can't wait to watch it again!,1
The story was captivating.,1
The characters were well-developed.,1
I didn't care about any of the characters.,0
The dialogue was witty.,1
The pacing was slow.,0
I loved the soundtrack.,1
The costume design was stunning.,1
I found the movie confusing.,0
The visuals were breathtaking.,1
The script was uninspired.,0
The acting was superb.,1
I couldn't look away.,1
The direction was top-notch.,1
